TYPE;string;string;float64;float64;string;float64
VZMX;MAXI ZERO CROSSING WAVE HEIGHT;metre;0;10;%5.2f;1e36
MSMP;MEAN SPHERIC DIAM. MEDIAN;millimeter;0;99;%5.2f;1e36
MSDP;MEAN SPHERIC DIAM. OF PARTICLE;millimeter;0;99;%5.2f;1e36
MSZW;MESOZOOPLANCTON DRY WEIGHT;milligram/m3;0;90;%5.2f;1e36
MMNF;MN FLUX IN SETTLING PARTICLES;microgram/(m2.day);0;3400;%6.2f;1e36
SSTM;MODEL SEA SURFACE TEMPERATURE;Celsius degree;-1.5;38;%6.3f;1e36
MNTH;MONTH;mm;1;12;%2.2d;1e36
MMGP;Mg IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MMGS;Mg IN THE SEDIMENT;%;0;99;%6.3f;1e36
MMNP;Mn IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MMNS;Mn IN THE SEDIMENT;%;0;99;%6.3f;1e36
MMOS;Mo IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
HBAW;NB OF HETEROTROPHIC BACTERIA;10+6 cell/m3;0;900000;%6.0f;1e36
NETR;NET RADIATION;watt/m2;-500;500;%+5.1f;1e36
NTRA;NITRATE (NO3-N) CONTENT;millimole/m3;0;56;%6.3f;1e36
NTAW;NITRATE (NO3-N) CONTENT;micromole/kg;0;90;%5.2f;1e36
NTRZ;NITRATE + NITRITE CONTENT;millimole/m3;0;100;%6.2f;1e36
NTZW;NITRATE + NITRITE CONTENT;micromole/kg;0;100;%6.2f;1e36
NOUW;NITRATE UPTAKE;micromole nitrogen/(m3.day);0;900;%5.0f;1e36
NORW;NITRIFICATION;micromole nitrogen/(m3.day);0;100;%5.0f;1e36
NTIW;NITRITE (NO2-N) CONTENT;micromole/kg;0;100;%7.3f;1e36
NTRI;NITRITE (NO2-N) CONTENT;millimole/m3;0;10;%6.3f;1e36
PHCW;NUM. OF SW PHYTOPLANKTON CELLS;10+3 cell/m3;0;900000;%6.0f;1e36
COPP;NUMBER OF COPEPODS;number/m3;0;99999;%5.0f;1e36
NUMP;NUMBER OF PARTICLES;number/m3;0;999999;%9.3e;1e36
BCCW;NUMBER OF SW BACTERIA;10+9 cell/m3;0;9000;%7.2f;1e36
CICW;NUMBER OF SW CILIATES;10+3 cell/m3;0;90000;%5.0f;1e36
COCW;NUMBER OF SW COCCOLITHOPHORIDS;10+3 cell/m3;0;900000;%6.0f;1e36
DTCW;NUMBER OF SW DIATOMS;10+3 cell/m3;0;900000;%6.0f;1e36
DFCW;NUMBER OF SW DINOFLAGELLATES;10+3 cell/m3;0;900000;%6.0f;1e36
NFCW;NUMBER OF SW NANOFLAGELLATES;10+3 cell/m3;0;900000;%6.0f;1e36
PCEW;NUMBER OF SW PICOEUCARYOTES;10+6 cell/m3;0;90000;%5.0f;1e36
